Year,Bee_Values,Yearly_Avg_Close
2000,501633.1612903226,4.763410087719298
2001,509423.7419354839,4.916824034334764
2002,510118.48387096776,7.8917004048583
2003,510568.87096774194,11.74258097165992
2004,516147.2580645161,16.165787234042554
2005,522752.87096774194,19.09142137096774
2006,517315.28125,19.41136734693877
2007,514583.25,18.905070850202428
2008,522550.1875,14.738366935483873
2009,514346.75,14.057346938775511
2010,526576.875,17.541539256198345
2011,539882.0625,19.930586419753084
2012,566081.59375,21.84552845528455
2013,570807.5625,24.81648185483871
2014,594169.8125,20.6174693877551
2015,614404.21875,19.9047510373444
2016,632142.03125,24.0055658436214
2017,644658.375,26.806508097165995
2018,719702.2258064516,21.957773279352224
2019,750244.0645161291,17.839444444444446
2020,784013.1935483871,17.19513833992095
2021,807566.7741935484,18.275157480314963
2022,814962.9032258064,16.13149019607843
2023,818374.6774193548,16.076377952755905
