Year,Yearly_Avg_Close
2000,4.763410087719298
2001,4.916824034334764
2002,7.8917004048583
2003,11.742580971659919
2004,16.165787234042554
2005,19.09142137096774
2006,19.411367346938775
2007,18.905070850202428
2008,14.738366935483871
2009,14.057346938775511
2010,17.541539256198345
2011,19.930586419753084
2012,21.84552845528455
2013,24.81648185483871
2014,20.6174693877551
2015,19.904751037344397
2016,24.005565843621397
2017,26.806508097165995
2018,21.957773279352224
2019,17.839444444444446
2020,17.19513833992095
2021,18.275157480314963
2022,16.13149019607843
2023,16.076377952755905
2024,12.622834645669291
2025,10.83433734939759
