Year,Commodity_Price,Price_Percentage_Change
1991,94.49,0
1992,91.78,-3.0
1993,88.95,-3.0
1994,92.64,4.0
1995,97.33,5.0
1996,114.28,17.0
1997,121.7,6.0
1998,94.72,-22.0
1999,84.4,-11.0
2000,103.51,23.0
2001,101.16,-2.0
2002,100.28,-1.0
2003,120.62,20.0
2004,147.93,23.0
2005,161.18,9.0
2006,170.35,6.0
2007,173.89,2.0
2008,183.31,5.0
2009,122.68,-33.0
2010,136.88,12.0
2011,158.63,16.0
2012,141.88,-11.0
2013,130.34,-8.0
2014,125.76,-4.0
2015,93.95,-25.0
2016,83.54,-11.0
2017,85.31,2.0
2018,85.83,1.0
2019,79.34,-8.0
2020,69.52,-12.0
2021,93.16,34.0
2022,118.49,27.0
2023,104.21,-12.0
2024,99.02,-5.0
2025,103.59,5.0
